MARN,Full_name,Experience_years,Charge,Visa type,Booking preference,Location,Success rate,Language,Employment Type,Google rating,Availability
1800328,Kumar Rahul,7,201 – 500 AUD,491,Online,SA,>81%,Vietnamese,Organized,4.9,4- 6 month
1799100,Ramandeep Kaur,8,500+ AUD,838,Online,QLD,< 30%,Japanese,Independent,2.9,4- 6 month
1799035,Jaspreet Kaur,8,201 – 500 AUD,151,Both,VIC,>81%,Serbian,Independent,4.1,2 - 3 month
2318090,Balwant Kaur,2,101– 200 AUD,175,Inperson,VIC,31%-50%,Tagalog,Organized,3.1,4- 6 month
1570947,Nahida,10,201 – 500 AUD,423,Both,SA,< 30%,Romanian,Organized,4.0,Immediately
1571524,Harpalyad,10,500+ AUD,487,Inperson,VIC,31%-50%,Montenegrin,Independent,4.0,2 - 3 month
1572827,Agustinus,10,201 – 500 AUD,401,Inperson,NT, 51 %- 80 %,Syriac,Organized,3.0,4- 6 month
1575086,Vikramjeet Singh,10,0 ~ 100 AUD,462,Online,WA,31%-50%,Filipino,Organized,4.9,1 month
1679096,Harjeet Singh,9,0 ~ 100 AUD,956,Inperson,TAS,>81%,Polish,Organized,4.7,2 - 3 month
1681141,Harmandeep,9,101– 200 AUD,188,Both,QLD,>81%,Cambodian,Independent,3.3,4- 6 month
1789726,Nidhi,8,101– 200 AUD,892,Both,SA, 51 %- 80 %,French,Organized,4.8,2 - 3 month
1792016,Parminder Singh,8,101– 200 AUD,426,Both,ACT,< 30%,Dari,Independent,4.5,1 month
2217728,Aamir Shabbir,3,0 ~ 100 AUD,416,Both,SA,31%-50%,Sinhalese,Organized,2.6,2 - 3 month
104705,Aaron Wai Kwong Yeung,24,101– 200 AUD,101,Both,QLD,31%-50%,Burmese,Independent,2.5,1 month
1385433,Aaron Bingham,12,0 ~ 100 AUD,400,Inperson,QLD,< 30%,Sinhalese,Independent,4.4,1 month
1573517,Aaron Singh,10,500+ AUD,801,Both,SA, 51 %- 80 %,German,Independent,3.7,1 month
1685627,Aaron Austin Chan,9,101– 200 AUD,602,Inperson,QLD,< 30%,Chinese - Cantonese,Independent,3.1,1 month
